iter	Passed	Remaining
617	1368	845
618	1369	843
619	1371	840
620	1374	838
621	1375	836
622	1377	833
623	1379	831
624	1381	828
625	1382	826
626	1384	823
627	1386	821
628	1388	818
629	1389	816
630	1391	813
631	1393	811
632	1395	808
633	1397	806
634	1398	803
635	1400	801
636	1401	798
637	1403	796
638	1405	793
639	1406	791
640	1408	788
641	1410	786
642	1411	783
643	1413	781
644	1415	778
645	1416	776
646	1418	773
647	1420	771
648	1421	768
649	1423	766
650	1425	764
651	1426	761
652	1428	759
653	1429	756
654	1431	754
655	1433	751
656	1435	749
657	1436	746
658	1438	744
659	1440	741
660	1441	739
661	1443	737
662	1445	734
663	1447	732
664	1448	729
665	1450	727
666	1452	724
667	1453	722
668	1455	720
669	1457	717
670	1458	715
671	1460	712
672	1462	710
673	1463	708
674	1465	705
675	1467	703
676	1468	700
677	1470	698
678	1472	695
679	1473	693
680	1475	691
681	1476	688
682	1478	686
683	1479	683
684	1481	681
685	1483	678
686	1484	676
687	1486	674
688	1487	671
689	1489	669
690	1491	666
691	1493	664
692	1494	662
693	1496	659
694	1497	657
695	1499	654
696	1501	652
697	1502	650
698	1504	647
699	1506	645
700	1508	643
701	1510	641
702	1512	638
703	1513	636
704	1515	634
705	1517	631
706	1518	629
707	1520	627
708	1523	625
709	1524	622
710	1526	620
711	1528	618
712	1530	616
713	1532	613
714	1534	611
715	1535	609
716	1538	607
717	1540	604
718	1542	602
719	1544	600
720	1546	598
721	1548	596
722	1550	593
723	1551	591
724	1553	589
725	1555	587
726	1557	584
727	1559	582
728	1561	580
729	1563	578
730	1564	575
731	1566	573
732	1568	571
733	1569	568
734	1571	566
735	1573	564
736	1575	562
737	1576	559
738	1578	557
739	1580	555
740	1581	552
741	1583	550
742	1585	548
743	1586	546
744	1588	543
745	1590	541
746	1591	539
747	1593	536
748	1595	534
749	1596	532
750	1599	530
751	1600	527
752	1602	525
753	1604	523
754	1606	521
755	1607	518
756	1609	516
757	1610	514
758	1612	512
759	1614	509
760	1616	507
761	1618	505
762	1620	503
763	1621	500
764	1623	498
765	1625	496
766	1626	494
767	1628	492
768	1630	489
769	1632	487
770	1633	485
771	1635	483
772	1637	480
773	1638	478
774	1640	476
775	1642	474
776	1643	471
777	1645	469
778	1647	467
779	1649	465
780	1651	462
781	1652	460
782	1654	458
783	1656	456
784	1657	454
785	1659	451
786	1661	449
787	1662	447
788	1664	445
